generation,total_predators,total_energy,avg_speed,avg_size,avg_reproduction_threshold,total_speed,total_size,total_reproduction_threshold,avg_energy
234,1,14.778667,1.5,1,0,1.5,1,0,14.778667
235,1,14.628668,1.5,1,0,1.5,1,0,14.628668
236,1,14.478668,1.5,1,0,1.5,1,0,14.478668
237,1,14.328669,1.5,1,0,1.5,1,0,14.328669
238,1,14.178669,1.5,1,0,1.5,1,0,14.178669
239,1,14.028669,1.5,1,0,1.5,1,0,14.028669
240,1,13.87867,1.5,1,0,1.5,1,0,13.87867
241,1,13.72867,1.5,1,0,1.5,1,0,13.72867
242,1,13.5786705,1.5,1,0,1.5,1,0,13.5786705
243,1,15.638935,1.5,1,0,1.5,1,0,15.638935
244,1,15.488935,1.5,1,0,1.5,1,0,15.488935
245,1,15.338936,1.5,1,0,1.5,1,0,15.338936
246,1,15.188936,1.5,1,0,1.5,1,0,15.188936
247,1,15.038937,1.5,1,0,1.5,1,0,15.038937
248,1,14.888937,1.5,1,0,1.5,1,0,14.888937
249,1,14.738937,1.5,1,0,1.5,1,0,14.738937
250,1,14.588938,1.5,1,0,1.5,1,0,14.588938
251,1,14.438938,1.5,1,0,1.5,1,0,14.438938
252,1,14.2889385,1.5,1,0,1.5,1,0,14.2889385
253,1,14.138939,1.5,1,0,1.5,1,0,14.138939
254,1,15.38322,1.5,1,0,1.5,1,0,15.38322
255,1,15.23322,1.5,1,0,1.5,1,0,15.23322
256,1,15.0832205,1.5,1,0,1.5,1,0,15.0832205
257,1,14.933221,1.5,1,0,1.5,1,0,14.933221
258,1,14.783221,1.5,1,0,1.5,1,0,14.783221
259,1,14.633222,1.5,1,0,1.5,1,0,14.633222
260,1,14.483222,1.5,1,0,1.5,1,0,14.483222
261,1,14.333222,1.5,1,0,1.5,1,0,14.333222
262,1,14.183223,1.5,1,0,1.5,1,0,14.183223
263,1,14.033223,1.5,1,0,1.5,1,0,14.033223
264,1,16.313396,1.5,1,0,1.5,1,0,16.313396
265,2,19.761148,1.5604641,1.0191603,0,3.1209283,2.0383205,0,9.880574
266,2,21.57528,1.5604641,1.0191603,0,3.1209283,2.0383205,0,10.78764
267,2,26.03997,1.5604641,1.0191603,0,3.1209283,2.0383205,0,13.019985
268,2,27.819706,1.5604641,1.0191603,0,3.1209283,2.0383205,0,13.909853
269,2,29.79409,1.5604641,1.0191603,0,3.1209283,2.0383205,0,14.897045
270,2,29.475786,1.5604641,1.0191603,0,3.1209283,2.0383205,0,14.737893
271,2,29.157482,1.5604641,1.0191603,0,3.1209283,2.0383205,0,14.578741
272,2,28.839178,1.5604641,1.0191603,0,3.1209283,2.0383205,0,14.419589
273,2,30.737572,1.5604641,1.0191603,0,3.1209283,2.0383205,0,15.368786
274,3,30.419268,1.5893326,1.0104967,0,4.7679977,3.03149,0,10.139756
275,3,36.217606,1.5893326,1.0104967,0,4.7679977,3.0314903,0,12.0725355
276,4,39.92685,1.6182009,1.0242759,0,6.4728036,4.0971036,0,9.981712
277,4,43.4907,1.6182009,1.0242759,0,6.4728036,4.0971036,0,10.872675
278,4,47.943153,1.6182009,1.0242759,0,6.4728036,4.0971036,0,11.985788
279,4,53.07362,1.6182009,1.0242759,0,6.4728036,4.0971036,0,13.268405
280,4,56.698864,1.6182009,1.0242759,0,6.4728036,4.0971036,0,14.174716
281,4,60.32071,1.6182009,1.0242759,0,6.4728036,4.0971036,0,15.080177
282,4,59.657158,1.6182009,1.0242759,0,6.4728036,4.0971036,0,14.914289
283,4,58.993603,1.6182009,1.0242759,0,6.4728036,4.0971036,0,14.748401
284,4,62.937027,1.6182009,1.0242759,0,6.4728036,4.0971036,0,15.734257
285,5,64.75182,1.6561209,1.0317432,0,8.280604,5.1587157,0,12.950365
286,5,68.22351,1.6561209,1.0317433,0,8.280604,5.158716,0,13.644702
287,6,68.8955,1.6886029,1.0221758,0,10.131618,6.1330547,0,11.482583
288,6,76.42447,1.688603,1.0221759,0,10.1316185,6.1330557,0,12.7374115
289,7,82.03327,1.7056549,1.0236742,0,11.939584,7.16572,0,11.719039
290,7,90.99524,1.7056549,1.0236744,0,11.939584,7.1657205,0,12.99932
291,7,96.98319,1.7056549,1.0236744,0,11.939584,7.1657205,0,13.854742
292,7,100.4391,1.7056549,1.0236744,0,11.939584,7.1657205,0,14.348443
293,9,108.6559,1.7518793,1.0319195,0,15.766914,9.287275,0,12.072878
294,9,117.16044,1.7518795,1.0319194,0,15.766915,9.287274,0,13.017826
295,9,117.67332,1.7518795,1.0319194,0,15.766915,9.287274,0,13.074813
296,10,119.17524,1.7457464,1.0267293,0,17.457464,10.267293,0,11.917524
297,10,123.119484,1.7457464,1.0267292,0,17.457464,10.267292,0,12.311949
298,10,126.1059,1.7457464,1.0267292,0,17.457464,10.267292,0,12.61059
299,10,135.50731,1.7457464,1.0267292,0,17.457464,10.267292,0,13.550731
300,11,140.62473,1.7604045,1.0327386,0,19.364449,11.360124,0,12.784066
301,12,154.83948,1.7836286,1.0306,0,21.403543,12.367199,0,12.90329
302,13,157.14781,1.7898259,1.0250729,0,23.267736,13.325949,0,12.088293
303,13,164.80923,1.7898259,1.0250729,0,23.267736,13.325948,0,12.677633
304,14,180.6581,1.7975875,1.0311598,0,25.166225,14.436237,0,12.90415
305,15,191.46799,1.8340114,1.031761,0,27.510172,15.476417,0,12.764532
306,15,196.30261,1.8340114,1.031761,0,27.510172,15.476417,0,13.086841
307,15,202.91962,1.8340114,1.031761,0,27.510172,15.476417,0,13.527974
308,16,207.39648,1.8340926,1.0353363,0,29.345482,16.56538,0,12.96228
309,16,210.80536,1.8340926,1.0353363,0,29.345482,16.56538,0,13.175335
310,16,213.55164,1.8340926,1.0353363,0,29.345482,16.56538,0,13.346977
311,17,220.55106,1.8350616,1.0341934,0,31.196047,17.581287,0,12.973592
312,17,226.31668,1.8350617,1.0341934,0,31.196049,17.581287,0,13.312746
313,17,232.34041,1.8350617,1.0341934,0,31.196049,17.581287,0,13.667083
